Name,Author,Publisher,Rating,Review Count,Sale Rank,Original Price,Sale Price,category
일본어 무작정 따라하기 완전판,후지이 아사리 저,길벗이지톡,9.7,167,"| 판매지수 89,427 판매지수란?","26,000원","23,400원",일본어
기적의 항암 식단,"김훈하, 김정은 저",경향비피,9.9,29,"| 판매지수 20,559 판매지수란?","18,000원","16,200원",요리
룩 백,후지모토 타츠키 글그림,학산문화사,9.8,203,"| 판매지수 63,963 판매지수란?","6,000원","5,400원",액션
청춘계시록 1 한정판,한서 글그림,에이템포미디어,,지역변경,"| 판매지수 7,590 판매지수란?","33,000원","29,700원",웹툰
이토록 공부가 재미있어지는 순간,박성혁 저,다산북스,9.6,"1,570","| 판매지수 157,815 판매지수란?","18,000원","16,200원",공부법
리얼리티 트랜서핑 3,바딤 젤란드 저/박인수 역,정신세계사,9.0,50,"| 판매지수 29,274 판매지수란?","11,000원","9,900원",처세술/삶의 자...
일류의 조건,사이토 다카시 저/정현 역,필름,9.0,395,"| 판매지수 199,383 판매지수란?","19,800원","17,820원",처세술/삶의 자...
불편한 편의점 2,김호연 저,나무옆의자,9.5,"1,629","| 판매지수 116,433 판매지수란?","14,000원","12,600원",한국소설
흔한남매 이상한 나라의 고전 읽기 6,최재훈 글/정주연 그림/흔한남매 감수,미래엔아이세움,10.0,63,"| 판매지수 36,465 판매지수란?","15,000원","13,500원",3-4학년
내가 한 말을 내가 오해하지 않기로 함,문상훈 저,위너스북,9.0,137,"| 판매지수 266,364 판매지수란?","19,800원","17,820원",명사/연예인 에...
시대예보: 핵개인의 시대,송길영 저,교보문고,9.0,346,"| 판매지수 187,434 판매지수란?","21,000원","18,900원",경제
해커스 토익 LC Listening(리스닝) 기본서,David Cho 저,해커스어학연구소,9.8,120,"| 판매지수 155,472 판매지수란?","18,800원","16,920원",영어
데미안 : 오리지널 초판본 표지디자인,헤르만 헤세 저,코너스톤(도서),9.6,240,"| 판매지수 84,432 판매지수란?","7,500","3,300원",독일소설
손자병법,손무 저/김원중 역,휴머니스트,9.4,159,"| 판매지수 26,670 판매지수란?","18,000원","16,200원",독서/비평
담을 넘은 아이,김정민 글/이영환 그림,비룡소,9.8,131,"| 판매지수 45,150 판매지수란?","14,000원","12,600원",1-2학년
노르웨이의 숲,무라카미 하루키 저/양억관 역,민음사,9.2,518,"| 판매지수 68,823 판매지수란?","17,000원","15,300원",일본소설
최민준의 아들코칭 백과,최민준 저,위즈덤하우스,9.9,190,"| 판매지수 110,430 판매지수란?","18,800원","16,920원",자녀교육
행복할 거야 이래도 되나 싶을 정도로,일홍 저,부크럼,9.9,42,"| 판매지수 29,631 판매지수란?","18,000원","16,200원",한국 에세이
원씽 THE ONE THING,"게리 켈러, 제이 파파산 저/구세희 역",비즈니스북스,9.4,860,"| 판매지수 158,967 판매지수란?","16,800원","15,120원",처세술/삶의 자...
"다시, 역사의 쓸모",최태성 저,프런트페이지,9.8,78,"| 판매지수 50,808 판매지수란?","18,000원","16,200원",역사와 문화 교...
임신 출산 육아 대백과 최신개정판,편집부 저,삼성출판사,9.6,28,"| 판매지수 97,197 판매지수란?","19,500원","17,550원",임신/출산
드래곤볼 SD 6,토리야마 아키라 원저/오오이시 나호 글그림,서울미디어코믹스(서울문화사),8.7,3,"| 판매지수 7,170 판매지수란?","10,000원","9,000원",액션
수학이 생명의 언어라면,김재경 저,동아시아,10.0,5,"| 판매지수 23,151 판매지수란?","18,000원","16,200원",수학
소드 아트 온라인 SWORD ART ONLINE 26,카와하라 레키 저/abec 그림/박용국 역,서울미디어코믹스(서울문화사),10.0,1,"| 판매지수 5,940 판매지수란?","8,000원","7,200원",라이트노벨
돈 공부를 시작하고 인생의 불안이 사라졌다,할미언니 저,필름,9.2,50,"| 판매지수 38,172 판매지수란?","18,500원","16,650원",투자/재테크
성장이 멈춘 시대의 투자법,김경록 저,흐름출판,9.8,50,"| 판매지수 26,835 판매지수란?","22,000원","19,800원",투자/재테크
우리아이 꼭 지켜줄게,김용준 저,물맷돌,9.8,8,"| 판매지수 25,062 판매지수란?","28,000원","25,200원",사회학
이은경쌤의 초등어휘일력 365,이은경 저,포레스트북스,9.8,339,"| 판매지수 182,754 판매지수란?","18,800원","16,920원",자녀교육
이방인,알베르 까뮈 저/김화영 역,민음사,9.3,571,"| 판매지수 75,639 판매지수란?","10,000원","9,000원",프랑스소설
푸른 사자 와니니 7,이현 글/오윤화 그림,창비,10.0,41,"| 판매지수 44,823 판매지수란?","12,000원","10,800원",5-6학년
중등 필독 신문,"이현옥, 이현주 저",체인지업,9.9,139,"| 판매지수 46,050 판매지수란?","17,800원","16,020원",공부법
여름을 한 입 베어 물었더니,이꽃님 저,문학동네,9.6,230,"| 판매지수 130,347 판매지수란?","12,500원","11,250원",청소년 문학
JLPT(일본어능력시험) 한권으로 끝내기 N3,"이치우, 기타지마 치즈코 저",다락원,9.8,124,"| 판매지수 79,089 판매지수란?","27,000원","24,300원",일본어
하늘과 땅 식료품점,제임스 맥브라이드 저/박지민 역,미래지향,9.8,71,"| 판매지수 24,828 판매지수란?","18,000원","16,200원",영미소설
사이언스 2025,"내셔널지오그래픽 키즈 글/이한음, 김아림 역",비룡소,,,"| 판매지수 5,760 판매지수란?","28,000원","25,200원",1-2학년
지적 대화를 위한 넓고 얕은 지식 1,채사장 저,웨일북,9.3,584,"| 판매지수 118,716 판매지수란?","16,000원","14,400원",인문/교양
플랫폼을 지배하는 조회수의 법칙,게리 바이너척 저/이지민 역,알에이치코리아(RHK),9.9,27,"| 판매지수 20,151 판매지수란?","25,000원","22,500원",마케팅/세일즈
적도 친구로 만드는 무적의 대화법,리우난 저/박나영 역,지니의서재,,지역변경,"| 판매지수 17,550 판매지수란?","18,800원","16,920원",화술/협상/회의...
모두의 금리,조원경 저,에프엔미디어,9.8,21,"| 판매지수 36,891 판매지수란?","22,000원","19,800원",경제
흔한남매 16,흔한남매 원저/백난도 글/유난희 그림/흔한컴퍼니 감수,미래엔아이세움,9.8,231,"| 판매지수 148,362 판매지수란?","14,500원","13,050원",1-2학년
에일리언 스테이지 아트북 특별판,팀 포맷나인 저,다산코믹스,9.9,21,"| 판매지수 87,564 판매지수란?","54,000원","48,600원",아트북
모니카와 케이티,트루디 루드위그 글/에비게일 마블 그림/강빈맘 역,서교책방,9.9,48,"| 판매지수 35,007 판매지수란?","16,700원","15,030원",1-2학년
만화 나의 행복한 결혼 5,아기토기 아쿠미 원저/코사카 리토 글그림/유유리 역,서울미디어코믹스(서울문화사),10.0,4,"| 판매지수 5,820 판매지수란?","5,500원","4,950원",로맨스
리니지W 아트북,NCSOFT 저,시공아트,10.0,1,"| 판매지수 35,835 판매지수란?","65,000원","58,500원",미술
푸른 들판을 걷다,클레어 키건 저/허진 역,다산책방,9.3,82,"| 판매지수 47,550 판매지수란?","16,800원","15,120원",영미소설
"오직, 그림",박영택 저,마음산책,9.8,9,"| 판매지수 12,075 판매지수란?","26,000원","23,400원",미술
너의 꿈에도 내가 나오는지,김지현 저,우리학교,9.7,52,"| 판매지수 5,772 판매지수란?","14,000원","12,600원",청소년 문학
당연하게도 나는 너를,이꽃님 저,우리학교,9.4,90,"| 판매지수 60,216 판매지수란?","13,500원","12,150원",청소년 문학
